code,name,price,change,change_percent,high,low,volume,amount,total_mv,float_mv,pe,pb,turnover_rate,market
001914,招商积余,9.75,-0.17,-1.71,10.02,9.75,6146100,60670000.0,102.74,0.96,15.7,10.91,0.58,深市A股
300743,天地数码,17.25,-0.3,-1.71,17.76,17.25,2589600,45430000.0,26.08,4.2,28.24,21.06,2.03,深市A股
688620,安凯微,10.36,-0.18,-1.71,10.7,10.36,344633400,36190000.0,40.61,3.14,-29.17,12.65,1.48,沪市A股
601877,正泰电器,32.65,-0.57,-1.72,34.05,32.55,30159200,1001000000.0,701.64,1.61,18.11,36.54,1.4,沪市A股
300564,筑博设计,14.83,-0.26,-1.72,15.33,14.75,1785400,26810000.0,23.92,1.98,77.21,18.11,1.58,深市A股
000985,大庆华科,19.41,-0.34,-1.72,20.03,19.41,1471600,29030000.0,25.16,4.09,170.07,21.73,1.14,深市A股
300616,尚品宅配,11.98,-0.21,-1.72,12.44,11.95,2914200,35470000.0,26.9,0.86,-12.49,14.63,1.88,深市A股
300393,中来股份,9.71,-0.17,-1.72,10.0,9.5,47971100,467460000.0,105.8,3.58,-12.35,11.86,5.02,深市A股
002054,德美化工,8.57,-0.15,-1.72,8.79,8.53,12720700,109940000.0,41.32,1.61,34.96,9.59,3.31,深市A股
002849,威星智能,16.55,-0.29,-1.72,17.07,16.55,5958400,100180000.0,36.51,2.67,108.57,18.52,3.08,深市A股
300278,华昌达,4.58,-0.08,-1.72,4.72,4.58,16207500,75420000.0,64.76,3.74,83.42,5.59,1.15,深市A股
301110,青木科技,55.41,-0.97,-1.72,57.24,55.38,1362900,76720000.0,51.27,3.52,56.63,67.66,2.08,深市A股
002587,奥拓电子,6.85,-0.12,-1.72,7.08,6.82,21522300,149500000.0,44.63,3.36,-115.83,7.67,4.04,深市A股
000586,汇源通信,15.47,-0.27,-1.72,15.77,15.08,8628500,133360000.0,29.93,8.84,-320.31,17.31,4.51,深市A股
301148,嘉戎技术,49.12,-0.86,-1.72,50.52,49.11,716500,35600000.0,57.22,3.23,113.99,59.98,1.22,深市A股
600103,青山纸业,3.43,-0.06,-1.72,3.55,3.43,39213500,136750000.0,76.86,1.93,90.69,3.84,1.77,沪市A股
002180,纳思达,16.55,-0.29,-1.72,17.1,16.51,10797800,181510000.0,235.32,2.45,31.41,18.52,0.79,深市A股
002993,奥海科技,45.8,-0.8,-1.72,48.79,45.66,5647100,264470000.0,126.43,2.64,27.2,51.26,2.37,深市A股
300802,矩子科技,17.67,-0.31,-1.72,18.07,17.55,3789200,67330000.0,50.2,3.59,75.71,21.58,1.95,深市A股
002998,优彩资源,8.01,-0.14,-1.72,8.36,8.0,5203400,42340000.0,28.2,1.67,33.66,8.97,1.94,深市A股
688469,芯联集成-U,6.3,-0.11,-1.72,6.46,6.27,6010008800,382620000.0,528.11,4.04,-91.96,7.69,1.36,沪市A股
003018,金富科技,29.1,-0.51,-1.72,30.61,28.12,17474300,513070000.0,75.66,4.75,53.58,32.57,17.83,深市A股
